,Latency
0,6.8406506190789464
1,6.495798247718171
2,7.361999798989277
3,8.088681515933816
4,8.282071963749424
5,9.958450211561352
6,8.582988719364183
7,7.859261820450024
8,8.311114074998883
9,59.33989994318661
10,7.211805477730483
11,6.064627346634955
12,11.980364411155051
13,8.879122077248194
14,7.561584986865324
15,6.6709775938971285
16,7.7390420515078535
17,5.310089123988832
18,13.88763942908161
19,10.67759391653667
20,5.64272520997282
21,8.669062486466983
22,12.845834676634503
23,8.76291928570591
24,7.3150282819533725
25,9.166309612369272
26,9.83673559478923
27,6.060443560471635
28,7.710839553994797
29,8.319038313427779
30,7.422108913364602
31,7.448577991075328
32,29.391145952874325
33,6.723981982066751
34,15.743201725380768
35,6.812176809552727
36,8.305842015121737
37,8.28222354088101
38,8.04999716992358
40,8.884407688222563
41,6.1369492060153155
42,7.772558605114218
43,5.590079668996152
44,5.318967327378689
45,7.599725458987831
46,9.648704697911107
47,5.647769099956436
48,9.128742370031972
49,8.172700470868804
50,8.966511437634637
51,7.2526347744739965
52,8.359119710648276
53,29.408675940219815
54,8.751553801706038
55,6.541939814283344
56,5.649125699667539
57,8.72568009843689
58,7.667959855352845
59,6.998272417908092
60,6.5449344401518195
61,6.951946997845259
62,7.731519581825422
63,23.99244820573542
64,5.435526569408547
67,7.665962576061217
69,6.135014191464655
70,8.644424407859558
71,7.692466861824228
72,6.704131312787126
73,7.871216792339875
74,7.209581973283334
75,9.345279327184251
76,6.125583994595191
77,9.45004309838449
78,9.56154891575758
79,8.310761639504125
80,16.726389465696524
81,15.51052241327535
82,10.2766293552113
83,5.5781846873384096
85,17.400870686844883
86,5.497728821638402
87,8.032615354620273
88,7.9989369029763715
89,7.673048215789863
90,7.464561206882898
91,10.283547908011464
92,6.9333483378295675
93,12.181871746882887
96,5.980794612799033
97,9.90035101062687
98,6.172944631350116
99,8.95385246850367
100,10.089134744729208
101,8.296010402429813
102,5.655614571541649
104,7.4742150362656234
105,9.72418686657926
106,6.8760597958904235
107,8.298323298177866
108,10.684521746576658
109,8.691451059394748
110,5.418642357541972
111,6.574397704278876
112,6.831730980755035
113,6.86789110056692
114,7.350334925401091
115,8.568465144223602
116,24.978905221052266
117,6.922159642103347
118,8.55491890055975
119,9.20388945484626
120,5.669419689109854
121,7.448075844184544
122,8.808310991753082
123,5.894342522387991
125,8.292346689163882
126,9.226201048523066
127,7.465789868972533
128,7.267382924971167
129,8.646869053757786
130,8.439558725945677
131,7.606038559845273
132,11.21364298518198
133,7.940063477938086
134,9.613302831461038
135,12.074459857574443
136,6.401938003599415
